key,value
associate-se,0
security-critical,0
security-high,0
security-medium,0
security-informational,0
Guru - add,0
Guru - added,0
Guru - update,0
security-A1-Injection,0
security-A2-AuthSession,0
security-A3-XSS,0
security-A4-DirectObjRef,0
security-A5-Misconfig,0
security-A6-DataExposure,0
security-A7-MissingACL,0
security-A8-CSRF,0
security-A9-KnownVuln,0
security-A10-Redirects,0
Technical Master Issue,0
Semmle - existing customer,0
dependencies,0
communication-templates,0
Issue & PR templates,0
canned-reply,0
21days+,0
Technical Win!,0
Canada 🇨🇦,0
reporting-GHAS POC not in SFDC,0
poc-disabled,0
security-center-requested,0
dependency-review-approved,0
dependency-review-requested,0
45days+,0
90days+,0
no-results-found,0
codeql-python,0
ruby,0
services-lead,0
javascript,0
Foreign Language 🌏,0
cluster,0
field-CTO,0
Metered Billing,0
Upgrade,0
internal-prep,0
security notification follow-up,0
security notice follow-up,0
hiring-and-interviewing,0
ACC,0
customer-cisco,1
se-sme,1
SECURITY,1
security-low,1
bounty,1
reminder,1
Pending - Customer Response,1
Pending - Sales,1
secq-approval-required,1
WIP,1
octodemo-allowlist,1
Foreign Language :earth_africa: (German),1
Industry: Hospitality,1
Premium Support,1
Security Enablement :pear: session,1
MTC-Engagements,1
SOX,1
integration-tracking,1
RFI,1
partner-tagged,1
Codespaces,1
Great Firewall :cn:,1
vulnerablity question,1
to-do,1
Copilot,1
meeting-prep,1
GHES knowledge base,1
Transfer Impact Assessment,1
icebox,2
competitor-perforce,2
customer-nike,2
metrics,2
feature-monorepo,2
security-A0-Other,2
insights-beta,2
Pending - SE to Customer response,2
bug,2
whistic - :no_entry:,2
FA: Security & Trust,2
Not Enterprise Customer - Sales motion?,2
natescalation,2
ospo-engagement,2
Teams (DotCom Not GHEC),2
Industry: Education,2
adoption,2
MSFT Co-Sell,2
competitor-clearcase,3
feature-kubernetes,3
competitor-bitbucket,3
Activity: SECQ call,3
Security - SOC Report question(s),3
GHAE knowledge base,3
Main Tracker,3
Log4 j,3
activity-interview,4
feature-geo-replication,4
azure+github implementations,4
COVID-19,4
security-center-approved,4
Security-Legal Doc Markup :memo:,4
SolarWinds :sun_behind_large_cloud: :wind_chime:,4
CAIQ accepted :cake: :tada:,4
3rd party vendor platform rejected,4
Customer Pen Test,4
data-science,5
feature-migration,5
activity-webinar,5
security enablement,5
discussion,5
Sec RFI :shirt: : Not Security,5
Industry: Government,5
Office Hours,5
Industry: Media & Publishing,5
standup-amer-west,6
field-partner,6
competitor-azuredevops,6
region-pubsec,6
Sec RFI Prioritization: LOW,6
Industry: Automotive,6
Compliance: NDAA §889,6
Industry: Professional Services,6
Sec RFI No Action Taken,6
customer-daimler,7
meet-the-se,7
3rd party scorecard / rating: SSC Bitsight etc.,7
3rd Party Platform: CyberGRX,7
GHES: Security Scan,7
vulnerability inquiry,7
Security collateral request ONLY:crossed_fingers:,7
BCDR,7
Ukraine 🇺🇦,7
activity-workshop,8
RFP,8
Framework: FedRAMP,8
L&T Group,8
tip,9
activity-travel-office-visit,9
Industry: Retail,9
region-latam,10
GHAE SIG sent,10
activity-partner-enablement,11
customer-boeing,11
GHAS,11
GHAS-demo,11
Industry: Logistics / Transportation,12
Industry: Utilities / Energy,13
GHES,13
discovery,13
Sec RFI :shirt: : XXXL,14
project-sponsoredandtracked,15
slide-heroes,15
feature-actions,15
region-brazil,16
security-SOC-report-provided,16
SIG Request,16
priority-semi-urgent,17
competitor-gitlab,17
knowledge base,17
Sec RFI :shirt: : TBD,17
✋ On Hold,19
Industry: Manufacturing,20
Industry: Health Care / Pharma,22
GHAE,24
customer-daimler2,25
privacy - GDPR :eu:,26
Sec RFI Prioritization: MEDIUM,26
priority-urgent,27
Sec RFI :shirt: : XXL,27
SecQ request <$50k,27
cross-region-collab,28
evergreen,28
customer-success,30
Sec RFI :shirt:  Additional questions,30
corporate-se-apac,32
Sec RFI Prioritization: HIGH,32
Foreign Language :earth_asia: (Japanese),33
👀 @mbeland,36
tooling-octodemo,37
Sec RFI :shirt: : XL,37
activity-enablement,47
Sec RFI :shirt: : LARGE,47
customer-materials,48
backlog,49
emu,51
activity-travel-hq-visit,56
product-roadmap,56
pooled,60
activity-event,64
activity-presentation,67
team-meeting,70
region-central,74
partner,76
region-west,78
team-development,80
Sec RFI :shirt: : MEDIUM,81
3rd party vendor platform requested,88
Sec RFI :shirt: : SMALL,89
Industry: Financial Services (FSI),96
AWS-Ripper,100
activity-travel,102
Industry: Technology,102
activity-poc,115
github-advanced-security,125
se-weekly,132
tooling,146
corporate-se-emea,158
activity-onboarding,159
region-east,164
documentation,169
radar,257
project,268
corporate-se-amer,396
activity-demo,409
region-apac,761
activity-question,906
out-of-office,994
activity-security-questionnaire,1024
region-emea,1459
activity-onsite,1587
stale,1714
region-amer,2005
solutions-engineering,3115
activity-call,4919